jurisdiccion,fecha,salario_promedio
Río Negro,2022-03-01,122426.70793388998
Salta,2022-03-01,100890.76365969126
San Juan,2022-03-01,104422.81658903054
San Luis,2022-03-01,117842.09901976028
Santa Cruz,2022-03-01,244555.91226830578
Santa Fe,2022-03-01,122612.85500161149
Santiago del Estero,2022-03-01,84467.89890764904
Tierra del Fuego,2022-03-01,167731.18978374652
Tucumán,2022-03-01,97789.14972046763
Buenos Aires,2022-04-01,135107.7466687056
C.A.B.A.,2022-04-01,168637.32120032876
Catamarca,2022-04-01,98565.08284272006
Chaco,2022-04-01,93626.69972872418
Chubut,2022-04-01,216965.4150013304
Corrientes,2022-04-01,96477.5302600216
Córdoba,2022-04-01,116304.93654474606
Entre Ríos,2022-04-01,107223.72343610285
Formosa,2022-04-01,98453.33237239778
Jujuy,2022-04-01,108055.55201643101
La Pampa,2022-04-01,113655.45029227457
La Rioja,2022-04-01,90833.41806834342
Mendoza,2022-04-01,105648.58582039161
Misiones,2022-04-01,89338.4216487874
Neuquén,2022-04-01,216759.3702418251
Río Negro,2022-04-01,131167.23007659966
Salta,2022-04-01,104984.09395731313
San Juan,2022-04-01,109464.09190263225
San Luis,2022-04-01,123928.7364354265
Santa Cruz,2022-04-01,250811.6463016974
Santa Fe,2022-04-01,126629.3429326814
Santiago del Estero,2022-04-01,85326.89178720838
Tierra del Fuego,2022-04-01,171938.44211818895
Tucumán,2022-04-01,90611.11461664265
Buenos Aires,2022-05-01,141003.62315043432
C.A.B.A.,2022-05-01,172997.43681796384
Catamarca,2022-05-01,105237.54648498572
Chaco,2022-05-01,104361.61363288143
Chubut,2022-05-01,226177.26736536302
Corrientes,2022-05-01,104201.99084526618
Córdoba,2022-05-01,123159.7685829419
Entre Ríos,2022-05-01,114778.24894479048
Formosa,2022-05-01,108631.8316419152
Jujuy,2022-05-01,113776.39133786701
La Pampa,2022-05-01,120465.56201172675
La Rioja,2022-05-01,101438.13669761995
Mendoza,2022-05-01,114213.79034996404
Misiones,2022-05-01,96671.04610307596
Neuquén,2022-05-01,230559.34459049607
Río Negro,2022-05-01,138239.5862587739
Salta,2022-05-01,113078.97136994521
San Juan,2022-05-01,121421.89932096828
San Luis,2022-05-01,131732.6843301256
Santa Cruz,2022-05-01,262584.21870928217
Santa Fe,2022-05-01,133071.6901997113
Santiago del Estero,2022-05-01,92638.00926827214
Tierra del Fuego,2022-05-01,182232.22223076777
Tucumán,2022-05-01,101119.16547194132
Buenos Aires,2022-06-01,209743.21420939922
C.A.B.A.,2022-06-01,251270.48185562264
Catamarca,2022-06-01,157752.20034838052
Chaco,2022-06-01,150562.2965049105
Chubut,2022-06-01,340676.56676279777
Corrientes,2022-06-01,152653.00206172658
Córdoba,2022-06-01,178928.39474809103
Entre Ríos,2022-06-01,168794.49774872174
Formosa,2022-06-01,155940.28224852507
Jujuy,2022-06-01,169427.60197543987
La Pampa,2022-06-01,177612.42684724403
La Rioja,2022-06-01,152209.7342110579
Mendoza,2022-06-01,163714.92820436
Misiones,2022-06-01,137957.2599977105
Neuquén,2022-06-01,345899.8766882013
